Gene,P_Value
Vps4a,0.15476581162066
Megf6,0.158251170148229
Nxph4,0.159042774764138
Gapdh,0.159278606733094
Mkrn1,0.168268442614802
Fam162a,0.168822983987726
Ccnd2,0.18094071893972
Rab11fip4,0.183187804903854
Igsf3,0.183420242678955
Barx2,0.1858380783467
Dhcr24,0.189666628342543
St6gal1,0.190276870642853
Apln,0.190691035663122
Ccdc92,0.192615827400949
Grin1,0.208883221896954
Bcl11a,0.215921342985145
Dpf3,0.215978433299203
Lrrc23,0.222434462806754
Nrtn,0.225282905579876
Ndufa4l2,0.22919683591834
Slc24a3,0.229684096273523
Lct,0.239378426677108
Adgrl1,0.247409570030023
Eps8l2,0.251730414439408
Bcl2l11,0.256342253096673
Bcar1,0.256850847336055
Hhip,0.264395834784117
Tmem151b,0.273264166379931
Sema4d,0.28365139441958
Amhr2,0.300201197762649
Pfkl,0.303432934052106
Zfp57,0.307809892762508
Dlx1,0.315874643644225
Ostn,0.323012689009275
Prph,0.327855226856989
Anp32a,0.34032850766615
Stac2,0.344340964711277
Angel1,0.345983329384826
Dock11,0.349388105183268
Fbxo10,0.352370815829891
Cib2,0.375266037754638
Lrrc73,0.387172400247977
Fbxo17,0.387257002542809
Shf,0.390283852169065
Vax2,0.395170871520941
Cd164l2,0.410326844443664
Igsf5,0.411648343723781
Samd14,0.415167386349616
Rasgrp4,0.428732995942924
Abcg4,0.44565841451882
Ube2l6,0.452070058647998
Mcm6,0.453058400786535
Card10,0.520710451287842
Ap1m2,0.521381323385773
Ripply3,0.527933891079294
Sema6b,0.53763157370217
Ptpn18,0.550582232985936
Scube3,0.553974071064911
Fam117a,0.570155152929681
Cerox1,0.572433838439673
Tiam1,0.586271702589224
Ckb,0.609441567475534
Rpia,0.614850140743592
Plekhg6,0.616833954742212
Thap11,0.621028946339941
Pde1a,0.626679838489821
Crlf1,0.629371802524331
Tcf15,0.631321604741814
Mmp2,0.658634477087484
Rims3,0.675113349809695
Gng2,0.709839913882947
Tradd,0.717110425275258
Spata2l,0.726841491048477
Stard10,0.732432555878066
Lhx6,0.765695517627054
Eva1c,0.781698259189081
Tead2,0.795980304394851
Esrrb,0.800843740762987
Nup50,0.816810377224621
Gpr157,0.855560270911085
Tfrc,0.883816538592477
Tpi1,0.888372400228668
Slc29a4,0.890003956403966
Ppbp,0.897800896127444
Rassf2,0.905731226994689
Prss16,0.91610070425323
Dnajc15,0.919513363781402
Tmem121,0.940735239645083
Nckap1l,0.949297148423986
Rtraf,0.966446607261431
Tacstd2,0.972027203497185
Cgref1,0.973294800590148
4931428f04rik,NA
Cited1,NA
Trp53rka,NA
Zfp395,NA
Gm9747,NA
Prss41,NA
Gm10157,NA
2410004i01rik,NA
Crabp1,NA
A430093f15rik,NA
---,NA
Nradd,NA
Pitx3,NA
Slc32a1,NA
Gm20163,NA
Gm9844,NA
Gm13420,NA
Gm9176,NA
Vax2os,NA
Eif1ad10,NA
1700025g04rik,NA
Gm13882,NA
Dppa2,NA
Fgf15,NA
Cryaa,NA
Gsta3,NA
Ugt1a6a,NA
Gm43305,NA
2610203c22rik,NA
Gm30246,NA
Il6ra,NA
Gm13583,NA
Ugt1a7c,NA
Gvin2,NA
Erv3,NA
Panx3,NA
2610528a11rik,NA
Tuba3a,NA
Btbd11,NA
Zfp365,NA
Gm4779,NA
8030474k03rik,NA
Tuba3b,NA
